Frase 1,Frase 2,Imagen,Enviado,IdImplementacion
Hoy puedes elegir la calma.,Agradece lo que sí está en calma.,,,
Estás haciendo lo mejor que puedes.,Confía en tu proceso.,,,
No estás rota, solo estás cansada.,,,
No tienes que ser fuerte todo el tiempo.,Suelta lo que no puedes controlar.,,,
Estás a salvo en ti.,No eres menos por ir despacio.,,,
No necesitas tener todas las respuestas.,Cuídate como cuidarías a alguien que amas.,,,
Estás a salvo en ti.,Tu paz es una prioridad.,,,
No necesitas complacer a todos.,Darte un respiro no es rendirse.,,,
Tu valor no depende de tu productividad.,Confía en tu proceso.,,,
Puedes parar. El mundo no se va a caer.,Suelta lo que no puedes controlar.,,,
A veces sobrevivir también es un logro.,El silencio también habla.,,,
Sentir mucho no es una debilidad.,Eres más que tus pendientes.,,,
No necesitas complacer a todos.,Permítete sentir sin culpa.,,,
Hoy no tienes que arreglarlo todo.,Suelta lo que no puedes controlar.,,,
Hoy puedes elegir la calma.,Agradece lo que sí está en calma.,,,
Tu presencia ya es suficiente.,La calma también se entrena.,,,
No necesitas complacer a todos.,Darte un respiro no es rendirse.,,,
Puedes empezar de nuevo, incluso ahora.,,,
Ser suave también es ser fuerte.,Hoy,,,
Eres suficiente, incluso cuando dudas.,,,
Tu presencia ya es suficiente.,Mereces tu propia paciencia.,,,
No necesitas tener todas las respuestas.,Mereces ternura,,,
A veces sobrevivir también es un logro.,Mereces ternura,,,
Estás haciendo lo mejor que puedes.,Eres más que tus pendientes.,,,
